mse_2_fold,mse_5_fold,mse_10_fold
63700.403984139615,20839.313051983096,7562.739891919429
69066.91621882355,23444.13650421517,16960.546514486265
61016.60739227174,20351.655173559302,14902.688602624094
58585.36402475141,28073.70144222957,15373.580279871056
58192.671628990574,24904.566326008582,11613.615987848429
65523.87204698444,21510.134471980906,11524.513248637992
67155.95761623392,21927.0129829064,13548.56057190804
50482.47795728627,22155.889633649254,12943.82723657477
57268.0373490247,17820.03544934864,11217.225053147082
58531.48735481589,28224.575508445116,8868.06227143255
64604.79799562934,23555.637121952404,11970.925757698064
56116.141360306545,23729.03107834534,14045.07710187959
65581.46049725266,20976.37357833186,8106.4014901160745
59899.948643718635,24263.715414335948,15385.24852917151
67331.28087052082,16828.019133540667,9868.503163519592
70530.35381483102,22595.178618616184,12260.805964838819
56064.13017607061,29282.9319224521,17830.4350912639
61447.02852714708,19560.978679916367,10121.433873680897
57851.203084353,27244.806195782952,13430.225927839245
71194.52958118,26984.55569341965,14966.199841705316
65914.15383699362,20039.306379637255,8202.941610638554
63222.186333080426,25137.685874832267,12916.911018310782
59006.80977065293,31469.66969897986,16014.493805198706
62253.48513152503,26640.82244780295,11119.09933222286
62780.79729863835,22160.41778199573,11012.333248621853
65473.51286105864,27333.107501363498,9130.587286226286
57391.40433662461,23582.166680503047,14286.229611401728
63237.2424291653,26927.783827426545,12544.593222565196
68936.79624615778,21609.22525937945,11069.018120461498
72158.6502953579,28511.14984968971,13474.897236753091
